step,loss,acc_top1,acc_top5,learning_rate
38200,0.4829655885696411,90.625,96.484375,0.0002999996983522677
38300,0.5780714154243469,87.890625,94.140625,0.0002999996983522677
38400,0.638814389705658,87.109375,93.75,0.0002999996983522677
38500,0.7408280372619629,84.375,92.1875,0.0002999996983522677
38600,0.6377413868904114,85.15625,94.921875,0.0002999996983522677
38700,0.6333755850791931,85.15625,93.75,0.0002999996983522677
38800,0.7826167941093445,85.15625,91.796875,0.0002999996983522677
38900,0.7642444372177124,83.203125,92.578125,0.0002999996983522677
39000,1.0565897226333618,78.515625,89.0625,0.0002999996983522677
39100,0.8502960801124573,80.859375,91.015625,0.0002999996983522677
39200,0.4779298007488251,92.1875,95.703125,0.0002999996983522677
39300,0.5148995518684387,89.0625,96.484375,0.0002999996983522677
39400,0.6257977485656738,86.71875,92.96875,0.0002999996983522677
39500,0.6006991267204285,85.546875,94.53125,0.0002999996983522677
39600,0.5724520683288574,87.5,96.09375,0.0002999996983522677
39700,0.7534365653991699,84.765625,89.84375,0.0002999996983522677
39800,0.6517845988273621,86.71875,93.75,0.0002999996983522677
39900,0.4813205599784851,90.234375,96.875,0.0002999996983522677
40000,0.6854225397109985,86.328125,93.359375,0.0002999996983522677
40100,0.7509889006614685,82.8125,91.796875,0.0002999996983522677
40200,0.6685184240341187,87.890625,93.359375,0.0002999996983522677
40300,1.048054814338684,76.171875,86.71875,0.0002999996983522677
40400,0.8041319251060486,82.421875,92.578125,0.0002999996983522677
40500,0.5916355848312378,87.5,94.921875,0.0002999996983522677
40600,0.7048999667167664,82.421875,92.1875,0.0002999996983522677
40700,0.6750277280807495,84.375,93.359375,0.0002999996983522677
40800,0.5540867447853088,87.5,96.484375,0.0002999993212928866
40900,0.9571322202682495,77.34375,89.0625,0.0002999993212928866
41000,0.6782731413841248,87.109375,93.359375,0.0002999993212928866
41100,0.7233222723007202,84.765625,90.234375,0.0002999993212928866
41200,0.6204360723495483,85.546875,94.53125,0.0002999993212928866
41300,0.6514615416526794,89.0625,94.53125,0.0002999993212928866
41400,0.7365763783454895,82.421875,92.578125,0.0002999993212928866
41500,0.629916250705719,88.671875,93.359375,0.0002999993212928866
41600,0.622617244720459,86.328125,94.53125,0.0002999993212928866
41700,0.5197608470916748,87.890625,96.875,0.0002999993212928866
41800,0.688869833946228,84.765625,93.75,0.0002999993212928866
41900,0.5971893668174744,87.5,95.3125,0.0002999993212928866
42000,0.7235216498374939,83.203125,93.75,0.0002999993212928866
42100,0.6889215111732483,86.328125,94.53125,0.0002999993212928866
42200,0.7949700355529785,84.765625,91.796875,0.0002999993212928866
42300,0.7170078754425049,84.375,94.140625,0.0002999993212928866
42400,0.6105204820632935,87.5,94.921875,0.0002999993212928866
42500,0.6459416151046753,87.5,94.921875,0.0002999993212928866
42600,0.80532306432724,82.421875,89.84375,0.0002999993212928866
42700,0.6817871332168579,86.328125,92.578125,0.0002999993212928866
42800,0.7356081008911133,85.9375,92.96875,0.0002999993212928866
42900,0.8785829544067383,80.859375,88.671875,0.0002999993212928866
43000,0.5328632593154907,87.5,95.3125,0.0002999993212928866
43100,0.7828837037086487,82.421875,91.40625,0.0002999993212928866
43200,1.03458833694458,83.984375,88.671875,0.0002999993212928866
43300,0.8453146815299988,82.03125,90.234375,0.0002999993212928866
43400,0.616044282913208,86.328125,94.921875,0.0002999993212928866
43500,0.707251250743866,83.984375,94.140625,0.0002999993212928866
43600,0.6589159369468689,86.71875,92.1875,0.0002999993212928866
43700,0.7243195176124573,87.109375,91.796875,0.0002999993212928866
43800,0.7463424801826477,83.984375,91.015625,0.0002999993212928866
43900,0.4791257977485657,91.796875,96.875,0.0002999987934102839
44000,0.8349419236183167,80.46875,91.796875,0.0002999987934102839
44100,0.9113856554031372,82.03125,89.453125,0.0002999987934102839
44200,0.5833085775375366,88.671875,96.09375,0.0002999987934102839
44300,0.5522149801254272,85.9375,94.921875,0.0002999987934102839
44400,0.5136416554450989,90.234375,96.875,0.0002999987934102839
44500,0.7114239931106567,84.375,91.796875,0.0002999987934102839
44600,0.608245313167572,87.890625,93.75,0.0002999987934102839
44700,0.8063170909881592,83.59375,91.015625,0.0002999987934102839
44800,0.8078479170799255,82.03125,92.96875,0.0002999987934102839
44900,0.5496370196342468,87.890625,95.3125,0.0002999987934102839
45000,0.7118260264396667,82.8125,91.796875,0.0002999987934102839
45100,0.863432765007019,84.375,89.453125,0.0002999987934102839
45200,0.5024195909500122,86.328125,94.921875,0.0002999987934102839
45300,0.6774545907974243,87.5,95.3125,0.0002999987934102839
45400,0.6398783922195435,84.375,94.921875,0.0002999987934102839
45500,0.5201516151428223,88.28125,96.09375,0.0002999987934102839
45600,0.552463710308075,89.0625,94.921875,0.0002999987934102839
45700,0.5615093111991882,87.109375,96.875,0.0002999987934102839
45800,0.6465189456939697,87.109375,94.140625,0.0002999987934102839
45900,0.7231842875480652,85.15625,93.75,0.0002999987934102839
46000,0.8339061737060547,83.984375,88.671875,0.0002999987934102839
46100,0.7021343111991882,85.546875,93.75,0.0002999987934102839
46200,0.7095909118652344,81.25,93.75,0.0002999987934102839
46300,0.5779523253440857,87.5,94.921875,0.0002999987934102839
46400,0.770062267780304,83.59375,93.75,0.0002999987934102839
46500,0.5624562501907349,87.890625,94.921875,0.0002999987934102839
46600,0.8117872476577759,83.59375,91.015625,0.0002999987934102839
46700,0.6351872682571411,87.5,93.359375,0.0002999987934102839
46800,0.37340208888053894,91.015625,98.046875,0.0002999987934102839
46900,0.642388105392456,84.375,92.96875,0.0002999987934102839
47000,0.8548469543457031,82.8125,91.40625,0.0002999981147049904
47100,0.5470933318138123,86.71875,95.3125,0.0002999981147049904
47200,0.5081219673156738,91.796875,95.3125,0.0002999981147049904
47300,0.5213873386383057,88.671875,94.921875,0.0002999981147049904
47400,0.717905580997467,83.984375,93.359375,0.0002999981147049904
